Company,Date,Time,Rocket,Mission,RocketStatus,MissionStatus,Day/Night Launch,Complex ID,Launch Site,Territory,Country
NASA,12/2/88,14:30:00,Space Shuttle Atlantis,STS-27R,Retired,Success,Day,LC-39B,Kennedy Space Center,Florida,USA
Boeing,2/14/89,18:30:00,Delta II 6925,NAVSTAR II-1 (USA 35),Retired,Success,Night,SLC-17A,Cape Canaveral AFS,Florida,USA
NASA,3/13/89,14:57:00,Space Shuttle Discovery,STS-29R,Retired,Success,Day,LC-39B,Kennedy Space Center,Florida,USA
Douglas,3/24/89,21:50:00,Delta 3920-8,Delta Star (USA 36),Retired,Success,Night,SLC-17A,Cape Canaveral AFS,Florida,USA
NASA,5/4/89,18:46:00,Space Shuttle Atlantis,STS-30R,Retired,Success,Night,LC-39B,Kennedy Space Center,Florida,USA
Martin Marietta,5/10/89,19:47:00,Titan 34D,USA-37 (Vortex),Retired,Success,Night,SLC-40,Cape Canaveral AFS,Florida,USA
Boeing,6/10/89,22:30:00,Delta II 6925,NAVSTAR II-2,Retired,Success,Night,SLC-17A,Cape Canaveral AFS,Florida,USA
Martin Marietta,6/14/89,13:18:00,Titan IV(402)A,DSP,Retired,Success,Day,SLC-41,Cape Canaveral AFS,Florida,USA
NASA,8/8/89,12:37:00,Space Shuttle Columbia,STS-28R,Retired,Success,Day,LC-39B,Kennedy Space Center,Florida,USA
Boeing,8/18/89,5:58:00,Delta II 6925,NAVSTAR II-3,Retired,Success,Night,SLC-17A,Cape Canaveral AFS,Florida,USA
Boeing,8/27/89,22:59:00,Delta II 6925,BSB-R1,Retired,Success,Night,SLC-17B,Cape Canaveral AFS,Florida,USA
Martin Marietta,9/4/89,5:54:00,Titan 34D,DSCS-II-16 & DSCS-III-A2,Retired,Success,Night,SLC-40,Cape Canaveral AFS,Florida,USA
Martin Marietta,9/6/89,1:48:00,Titan II(23)G,USA-45,Retired,Success,Night,SLC-4W,Vandenberg AFB,California,USA
General Dynamics,9/25/89,8:56:00,Atlas-G Centaur-D1AR,FLTSATCOM-8,Retired,Success,Day,SLC-36B,Cape Canaveral AFS,Florida,USA
NASA,10/18/89,16:53:00,Space Shuttle Atlantis,STS-34R,Retired,Success,Day,LC-39B,Kennedy Space Center,Florida,USA
NASA,11/23/89,0:23:00,Space Shuttle Discovery,STS-33R,Retired,Success,Night,LC-39B,Kennedy Space Center,Florida,USA
Boeing,12/11/89,18:10:00,Delta II 6925,NAVSTAR II-5,Retired,Success,Night,SLC-17B,Cape Canaveral AFS,Florida,USA
Martin Marietta,1/1/90,0:07:00,Commercial Titan III,Skynet 4A & JCSAT-2,Retired,Success,Night,SLC-40,Cape Canaveral AFS,Florida,USA
NASA,1/9/90,12:35:00,Space Shuttle Columbia,STS-32,Retired,Success,Day,LC-39A,Kennedy Space Center,Florida,USA
Boeing,1/24/90,22:55:00,Delta II 6925,USA-50 (GPS II-6),Retired,Success,Night,SLC-17A,Cape Canaveral AFS,Florida,USA
Boeing,1/30/90,21:56:00,Delta II 6925,USA-64 (GPS II-9),Retired,Success,Night,SLC-17A,Cape Canaveral AFS,Florida,USA
Boeing,2/14/90,16:15:00,Delta II 6920-8,LACE / RME,Retired,Success,Day,SLC-17B,Cape Canaveral AFS,Florida,USA
NASA,2/28/90,7:50:00,Space Shuttle Atlantis,STS-36,Retired,Success,Day,LC-39A,Kennedy Space Center,Florida,USA
Martin Marietta,3/14/90,11:52:00,Commercial Titan III,Intelsat 603,Retired,Failure,Day,SLC-40,Cape Canaveral AFS,Florida,USA
Boeing,3/26/90,2:45:00,Delta II 6925,USA-54 (GPS II-7),Retired,Success,Night,SLC-17A,Cape Canaveral AFS,Florida,USA
Northrop,4/5/90,19:10:00,Pegasus,Pegsat & NavySat,Retired,Success,Night,NB-52B Carrier,Edwards AFB,California,USA
Lockheed,4/11/90,15:00:00,Atlas-E/F Altair,USA-56/57/58,Retired,Success,Day,SLC-3W,Vandenberg AFB,California,USA
Boeing,4/13/90,22:28:00,Delta II 6925-8,Palapa B2R,Retired,Success,Night,SLC-17B,Cape Canaveral AFS,Florida,USA
NASA,4/24/90,12:33:00,Space Shuttle Discovery,STS-31,Retired,Success,Day,LC-39B,Kennedy Space Center,Florida,USA
Boeing,6/1/90,21:48:00,Delta II 6920-10,ROSAT,Retired,Success,Night,SLC-17A,Cape Canaveral AFS,Florida,USA
Martin Marietta,6/8/90,5:22:00,Titan IV(405)A,SLDCOM & NOSS 3x,Retired,Success,Night,SLC-41,Cape Canaveral AFS,Florida,USA
Boeing,6/12/90,5:52:00,Delta 4925-8,INSAT 1D,Retired,Success,Night,SLC-17B,Cape Canaveral AFS,Florida,USA
Martin Marietta,6/23/90,11:19:00,Commercial Titan III,Intelsat 604,Retired,Success,Day,SLC-40,Cape Canaveral AFS,Florida,USA
General Dynamics,7/25/90,19:21:00,Atlas I,CRRES,Retired,Success,Night,SLC-36B,Cape Canaveral AFS,Florida,USA
Boeing,10/2/90,5:39:00,Delta II 6925,USA-63 (GPS II-8),Retired,Success,Night,SLC-17A,Cape Canaveral AFS,Florida,USA
NASA,10/6/90,11:47:00,Space Shuttle Discovery,STS-41,Retired,Success,Day,LC-39B,Kennedy Space Center,Florida,USA
Boeing,10/18/90,5:39:00,Delta II 6925,Thor 1,Retired,Success,Night,SLC-17B,Cape Canaveral AFS,Florida,USA
